SK_ID_CURR,Âge (ans),Sexe,Statut familial,Nbre enfants,Niveau éducation,Type revenu,Ancienneté emploi,Revenus ($)
100001,52,Féminin,Married,0,Higher education,Working,6,135000.0
100005,49,Masculin,Married,0,Secondary / secondary special,Working,12,99000.0
100013,54,Masculin,Married,0,Higher education,Working,12,202500.0
100028,38,Féminin,Married,2,Secondary / secondary special,Working,5,315000.0
100038,35,Masculin,Married,1,Secondary / secondary special,Working,6,180000.0
100042,50,Féminin,Married,0,Secondary / secondary special,State servant,32,270000.0
100057,45,Masculin,Married,2,Higher education,Working,7,180000.0
100065,26,Masculin,Single / not married,0,Higher education,Working,3,166500.0
100066,34,Féminin,Married,0,Higher education,State servant,2,315000.0
100067,28,Féminin,Civil marriage,1,Higher education,Working,7,162000.0
100074,64,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
100090,42,Féminin,Widow,0,Secondary / secondary special,Working,9,135000.0
100091,33,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,247500.0
100092,53,Féminin,Married,0,Secondary / secondary special,Working,9,90000.0
100106,33,Masculin,Civil marriage,0,Secondary / secondary special,Working,5,180000.0
100107,37,Masculin,Civil marriage,0,Secondary / secondary special,Working,2,180000.0
100109,53,Féminin,Single / not married,0,Secondary / secondary special,Working,12,202500.0
100117,62,Masculin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
100128,30,Féminin,Civil marriage,1,Higher education,Commercial associate,5,225000.0
100141,49,Féminin,Married,0,Secondary / secondary special,Working,0,175500.0
100150,28,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,7,99000.0
100168,61,Féminin,Widow,0,Higher education,Working,36,157500.0
100169,62,Féminin,Separated,0,Higher education,Pensioner,0,135000.0
100170,32,Masculin,Married,1,Incomplete higher,Commercial associate,3,337500.0
100171,36,Masculin,Married,0,Secondary / secondary special,Working,9,157500.0
100172,42,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,76500.0
100184,57,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,112500.0
100187,57,Féminin,Married,0,Higher education,Commercial associate,6,225000.0
100212,43,Féminin,Married,0,Lower secondary,Working,3,90000.0
100222,48,Féminin,Married,0,Secondary / secondary special,Working,7,360000.0
100223,35,Féminin,Married,0,Higher education,Commercial associate,5,180000.0
100232,39,Féminin,Married,1,Higher education,Working,4,102150.0
100241,25,Féminin,Married,0,Secondary / secondary special,Working,0,67500.0
100245,36,Féminin,Married,0,Incomplete higher,Working,3,112500.0
100253,42,Féminin,Separated,0,Secondary / secondary special,Commercial associate,8,171000.0
100256,27,Masculin,Single / not married,0,Secondary / secondary special,Working,3,121500.0
100271,63,Féminin,Married,0,Secondary / secondary special,Pensioner,0,270000.0
100278,29,Féminin,Married,1,Secondary / secondary special,Working,4,121500.0
100280,39,Masculin,Married,2,Incomplete higher,Commercial associate,2,405000.0
100306,23,Masculin,Single / not married,0,Secondary / secondary special,Working,0,112500.0
100311,48,Féminin,Married,0,Secondary / secondary special,Working,10,175500.0
100312,63,Masculin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
100330,38,Féminin,Married,0,Secondary / secondary special,Working,6,211500.0
100331,48,Masculin,Married,0,Higher education,Working,7,225000.0
100352,51,Masculin,Married,1,Secondary / secondary special,State servant,4,180000.0
100358,50,Féminin,Married,0,Secondary / secondary special,Working,6,202500.0
100367,54,Masculin,Married,0,Secondary / secondary special,Working,10,157500.0
100382,32,Masculin,Married,1,Higher education,Working,4,180000.0
100384,32,Féminin,Married,0,Higher education,State servant,3,112500.0
100385,34,Masculin,Married,1,Lower secondary,Working,13,229500.0
100386,37,Féminin,Civil marriage,3,Higher education,Commercial associate,2,202500.0
100399,56,Masculin,Married,0,Higher education,Commercial associate,10,360000.0
100404,39,Féminin,Married,0,Higher education,Commercial associate,7,270000.0
100416,45,Féminin,Married,0,Higher education,Commercial associate,7,157500.0
100422,50,Masculin,Married,3,Secondary / secondary special,Working,3,180000.0
100426,40,Féminin,Married,0,Secondary / secondary special,Working,17,157500.0
100438,29,Féminin,Married,1,Higher education,Working,3,144000.0
100444,26,Masculin,Married,1,Secondary / secondary special,Pensioner,0,202500.0
100445,36,Masculin,Single / not married,0,Secondary / secondary special,Working,0,135000.0
100446,27,Masculin,Single / not married,0,Higher education,State servant,3,157500.0
100447,59,Féminin,Married,0,Higher education,Pensioner,0,99000.0
100450,63,Féminin,Married,0,Secondary / secondary special,Pensioner,0,40500.0
100466,62,Féminin,Married,0,Secondary / secondary special,Working,5,175500.0
100483,42,Féminin,Married,1,Higher education,Commercial associate,8,202500.0
100484,60,Féminin,Married,0,Higher education,Working,2,202500.0
100494,28,Féminin,Civil marriage,0,Higher education,Working,7,135000.0
100510,41,Masculin,Single / not married,0,Secondary / secondary special,Working,3,315000.0
100512,64,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,92250.0
100517,41,Féminin,Married,0,Secondary / secondary special,Commercial associate,4,279000.0
100548,65,Féminin,Single / not married,0,Higher education,Pensioner,0,87750.0
100551,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,144000.0
100552,31,Masculin,Married,2,Secondary / secondary special,Working,5,180000.0
100553,31,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,9,126000.0
100561,32,Masculin,Married,0,Secondary / secondary special,Working,7,180000.0
100568,27,Masculin,Married,0,Secondary / secondary special,Working,1,112500.0
100569,41,Féminin,Married,1,Higher education,Commercial associate,16,225000.0
100591,45,Masculin,Married,0,Secondary / secondary special,Commercial associate,0,180000.0
100592,57,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,180000.0
100602,28,Féminin,Single / not married,0,Secondary / secondary special,Working,2,99000.0
100607,46,Masculin,Married,0,Secondary / secondary special,Commercial associate,4,135000.0
100613,61,Masculin,Married,0,Lower secondary,Pensioner,0,45000.0
100617,33,Féminin,Married,2,Higher education,Commercial associate,0,202500.0
100618,41,Féminin,Married,0,Secondary / secondary special,Working,1,202500.0
100622,28,Masculin,Single / not married,0,Secondary / secondary special,Working,8,67500.0
100625,33,Féminin,Married,1,Secondary / secondary special,Working,11,112500.0
100677,40,Féminin,Married,1,Secondary / secondary special,Commercial associate,1,252000.0
100699,36,Masculin,Married,1,Higher education,Working,4,225000.0
100702,24,Masculin,Civil marriage,0,Secondary / secondary special,Commercial associate,0,175500.0
100711,44,Féminin,Married,0,Higher education,Working,24,180000.0
100729,43,Masculin,Married,1,Secondary / secondary special,Working,1,112500.0
100740,28,Féminin,Married,1,Secondary / secondary special,Working,1,67500.0
100744,28,Féminin,Married,2,Secondary / secondary special,Working,1,144000.0
100745,30,Féminin,Married,0,Secondary / secondary special,Working,6,135000.0
100747,24,Masculin,Civil marriage,0,Incomplete higher,Commercial associate,2,495000.0
100751,39,Féminin,Married,1,Secondary / secondary special,Working,13,67500.0
100752,56,Masculin,Married,0,Secondary / secondary special,State servant,10,135000.0
100753,31,Féminin,Civil marriage,0,Secondary / secondary special,Working,5,180000.0
100754,53,Masculin,Married,0,Secondary / secondary special,Working,1,135000.0
100760,53,Masculin,Married,0,Secondary / secondary special,Working,8,90000.0
100762,47,Féminin,Married,0,Secondary / secondary special,Working,8,180000.0
100763,30,Féminin,Civil marriage,0,Incomplete higher,Commercial associate,3,157500.0
100765,39,Féminin,Married,2,Secondary / secondary special,Working,10,112500.0
100770,24,Masculin,Married,0,Incomplete higher,Working,2,202500.0
100772,33,Masculin,Married,0,Secondary / secondary special,Commercial associate,3,315000.0
100777,33,Masculin,Married,1,Higher education,Working,7,360000.0
100791,35,Féminin,Married,1,Secondary / secondary special,Commercial associate,6,135000.0
100792,42,Féminin,Married,1,Secondary / secondary special,Working,1,90000.0
100797,44,Féminin,Married,0,Secondary / secondary special,Working,22,180000.0
100823,32,Masculin,Married,0,Secondary / secondary special,Working,4,202500.0
100826,39,Féminin,Married,1,Secondary / secondary special,Working,2,202500.0
100830,56,Féminin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
100836,36,Masculin,Married,2,Lower secondary,Working,4,67500.0
100872,30,Masculin,Married,1,Higher education,Working,0,135000.0
100910,33,Féminin,Civil marriage,0,Secondary / secondary special,Working,2,202500.0
100913,65,Féminin,Married,0,Secondary / secondary special,Pensioner,0,157500.0
100918,29,Masculin,Married,0,Secondary / secondary special,Working,2,180000.0
100931,57,Masculin,Married,0,Secondary / secondary special,Commercial associate,7,189000.0
100952,32,Masculin,Married,1,Secondary / secondary special,Working,9,112500.0
100953,58,Masculin,Single / not married,0,Secondary / secondary special,Pensioner,0,225000.0
100965,50,Féminin,Married,0,Secondary / secondary special,Commercial associate,1,90000.0
100970,53,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,112500.0
100982,23,Féminin,Civil marriage,2,Secondary / secondary special,Working,3,112500.0
100983,45,Masculin,Married,0,Higher education,Working,2,315000.0
100984,29,Féminin,Married,2,Higher education,Working,7,180000.0
100987,32,Masculin,Married,1,Secondary / secondary special,Working,7,270000.0
100997,28,Féminin,Single / not married,0,Higher education,State servant,6,180000.0
100998,30,Masculin,Married,1,Secondary / secondary special,Working,7,112500.0
101002,53,Masculin,Married,0,Secondary / secondary special,Commercial associate,1,90000.0
101005,29,Masculin,Married,1,Secondary / secondary special,Commercial associate,3,157500.0
101008,35,Masculin,Single / not married,0,Secondary / secondary special,Commercial associate,0,135000.0
101020,45,Féminin,Married,0,Secondary / secondary special,Working,3,90000.0
101021,47,Féminin,Married,0,Secondary / secondary special,Working,12,180000.0
101024,33,Masculin,Married,2,Secondary / secondary special,State servant,15,333000.0
101025,30,Masculin,Married,1,Secondary / secondary special,Working,9,81000.0
101026,59,Féminin,Widow,0,Higher education,Working,7,193500.0
101031,57,Masculin,Married,0,Secondary / secondary special,Pensioner,0,180000.0
101041,48,Féminin,Separated,0,Higher education,Working,1,202500.0
101051,44,Féminin,Married,0,Secondary / secondary special,State servant,7,180000.0
101055,39,Féminin,Single / not married,0,Secondary / secondary special,Working,0,90000.0
101056,26,Féminin,Married,1,Secondary / secondary special,Commercial associate,2,112500.0
101057,28,Masculin,Married,0,Higher education,Working,2,112500.0
101064,60,Féminin,Married,0,Secondary / secondary special,Pensioner,0,63000.0
101079,55,Féminin,Widow,0,Secondary / secondary special,Working,1,135000.0
101087,39,Masculin,Married,2,Higher education,Working,16,211500.0
101090,58,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,180000.0
101092,33,Féminin,Married,2,Higher education,Working,7,81000.0
101097,50,Féminin,Single / not married,0,Secondary / secondary special,Working,3,135000.0
101099,68,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,99000.0
101107,46,Féminin,Married,1,Secondary / secondary special,Working,2,157500.0
101118,45,Féminin,Married,0,Secondary / secondary special,Working,7,157500.0
101125,38,Masculin,Married,1,Higher education,Commercial associate,3,225000.0
101126,39,Féminin,Married,1,Secondary / secondary special,Commercial associate,7,99000.0
101128,47,Masculin,Married,0,Secondary / secondary special,Working,13,337500.0
101136,24,Féminin,Single / not married,0,Incomplete higher,Working,3,94500.0
101140,33,Féminin,Married,0,Secondary / secondary special,Working,12,112500.0
101149,51,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,135000.0
101160,59,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,225000.0
101169,56,Masculin,Married,0,Secondary / secondary special,Working,5,225000.0
101181,45,Féminin,Married,3,Higher education,Working,10,225000.0
101186,43,Féminin,Married,0,Higher education,Commercial associate,4,157500.0
101190,43,Féminin,Married,1,Secondary / secondary special,Working,5,135000.0
