SK_ID_CURR,Type de prêt,Montant du crédit ($),Annuités ($),Montant du bien ($),Type de logement
100001,Cash loans,568800.0,20560.5,450000.0,House / apartment
100005,Cash loans,222768.0,17370.0,180000.0,House / apartment
100013,Cash loans,663264.0,69777.0,630000.0,House / apartment
100028,Cash loans,1575000.0,49018.5,1575000.0,House / apartment
100038,Cash loans,625500.0,32067.0,625500.0,House / apartment
100042,Cash loans,959688.0,34600.5,810000.0,House / apartment
100057,Cash loans,499221.0,22117.5,373500.0,House / apartment
100065,Cash loans,180000.0,14220.0,180000.0,With parents
100066,Cash loans,364896.0,28957.5,315000.0,House / apartment
100067,Cash loans,45000.0,5337.0,45000.0,House / apartment
100074,Cash loans,675000.0,25447.5,675000.0,House / apartment
100090,Cash loans,261621.0,16848.0,216000.0,House / apartment
100091,Cash loans,296280.0,23539.5,225000.0,House / apartment
100092,Cash loans,360000.0,18535.5,360000.0,House / apartment
100106,Revolving loans,157500.0,7875.0,157500.0,House / apartment
100107,Cash loans,296280.0,21690.0,225000.0,House / apartment
100109,Cash loans,407520.0,26041.5,360000.0,House / apartment
100117,Cash loans,499221.0,22117.5,373500.0,House / apartment
100128,Cash loans,431280.0,23526.0,360000.0,With parents
100141,Cash loans,478498.5,46741.5,454500.0,House / apartment
100150,Cash loans,225000.0,19242.0,225000.0,House / apartment
100168,Cash loans,266652.0,16443.0,202500.0,House / apartment
100169,Cash loans,540000.0,27702.0,540000.0,House / apartment
100170,Cash loans,1313212.5,42493.5,1012500.0,House / apartment
100171,Cash loans,539100.0,29245.5,450000.0,House / apartment
100172,Cash loans,225000.0,12334.5,225000.0,House / apartment
100184,Cash loans,256032.0,10759.5,180000.0,House / apartment
100187,Cash loans,501363.0,25726.5,418500.0,House / apartment
100212,Cash loans,450000.0,23107.5,450000.0,House / apartment
100222,Cash loans,945000.0,34074.0,945000.0,House / apartment
100223,Cash loans,490374.0,35811.0,400500.0,House / apartment
100232,Cash loans,335592.0,21577.5,265500.0,House / apartment
100241,Cash loans,431280.0,17797.5,360000.0,Rented apartment
100245,Cash loans,364896.0,20947.5,315000.0,House / apartment
100253,Cash loans,819792.0,39568.5,720000.0,House / apartment
100256,Cash loans,119925.0,13563.0,112500.0,House / apartment
100271,Cash loans,1800000.0,98770.5,1800000.0,House / apartment
100278,Cash loans,450000.0,35685.0,450000.0,House / apartment
100280,Cash loans,513040.5,61015.5,472500.0,House / apartment
100306,Cash loans,360000.0,28570.5,360000.0,With parents
100311,Cash loans,247500.0,12766.5,247500.0,House / apartment
100312,Cash loans,463500.0,33921.0,463500.0,House / apartment
100330,Cash loans,539100.0,27652.5,450000.0,House / apartment
100331,Cash loans,792162.0,40576.5,630000.0,Rented apartment
100352,Cash loans,729792.0,37390.5,630000.0,House / apartment
100358,Cash loans,798777.0,51178.5,697500.0,House / apartment
100367,Cash loans,261000.0,26874.0,261000.0,House / apartment
100382,Cash loans,431280.0,22149.0,360000.0,House / apartment
100384,Cash loans,360000.0,28570.5,360000.0,With parents
100385,Cash loans,544500.0,42268.5,544500.0,House / apartment
100386,Cash loans,207396.0,13383.0,157500.0,Municipal apartment
100399,Cash loans,1024740.0,43546.5,900000.0,House / apartment
100404,Cash loans,2013840.0,83110.5,1800000.0,House / apartment
100416,Cash loans,869049.0,31342.5,733500.0,House / apartment
100422,Cash loans,315000.0,16213.5,315000.0,House / apartment
100426,Cash loans,1125000.0,65313.0,1125000.0,House / apartment
100438,Cash loans,450000.0,23107.5,450000.0,House / apartment
100444,Cash loans,300735.0,16443.0,243000.0,House / apartment
100445,Cash loans,278505.0,15237.0,211500.0,With parents
100446,Cash loans,594121.5,30465.0,472500.0,House / apartment
100447,Cash loans,130320.0,9873.0,112500.0,House / apartment
100450,Cash loans,90000.0,7110.0,90000.0,House / apartment
100466,Cash loans,261801.0,18747.0,234000.0,House / apartment
100483,Cash loans,675000.0,25578.0,675000.0,House / apartment
100484,Cash loans,1907010.0,66415.5,1741500.0,House / apartment
100494,Cash loans,675000.0,36747.0,675000.0,House / apartment
100510,Cash loans,405000.0,21969.0,405000.0,Municipal apartment
100512,Cash loans,130320.0,13815.0,112500.0,House / apartment
100517,Cash loans,630000.0,32296.5,630000.0,House / apartment
100548,Cash loans,156384.0,11821.5,135000.0,House / apartment
100551,Cash loans,981360.0,31788.0,720000.0,House / apartment
100552,Cash loans,269982.0,32170.5,238500.0,House / apartment
100553,Cash loans,165915.0,10278.0,126000.0,House / apartment
100561,Cash loans,67500.0,8140.5,67500.0,House / apartment
100568,Cash loans,312768.0,24709.5,270000.0,House / apartment
100569,Cash loans,400392.0,42174.0,360000.0,House / apartment
100591,Cash loans,328405.5,26077.5,283500.0,House / apartment
100592,Cash loans,831730.5,30006.0,702000.0,House / apartment
100602,Cash loans,450000.0,23008.5,450000.0,House / apartment
100607,Cash loans,450000.0,23107.5,450000.0,House / apartment
100613,Cash loans,526491.0,24525.0,454500.0,House / apartment
100617,Cash loans,481176.0,24696.0,360000.0,House / apartment
100618,Cash loans,781920.0,39924.0,675000.0,House / apartment
100622,Cash loans,111384.0,9058.5,90000.0,With parents
100625,Cash loans,735579.0,32400.0,585000.0,Municipal apartment
100677,Cash loans,402214.5,22459.5,328500.0,House / apartment
100699,Cash loans,323460.0,23134.5,270000.0,House / apartment
100702,Cash loans,315000.0,25015.5,315000.0,House / apartment
100711,Cash loans,1525482.0,63085.5,1363500.0,Municipal apartment
100729,Cash loans,180000.0,14220.0,180000.0,House / apartment
100740,Cash loans,296280.0,21559.5,225000.0,House / apartment
100744,Cash loans,225000.0,17905.5,225000.0,House / apartment
100745,Cash loans,900000.0,29034.0,900000.0,House / apartment
100747,Cash loans,691551.0,54769.5,625500.0,House / apartment
100751,Cash loans,450000.0,14517.0,450000.0,House / apartment
100752,Cash loans,675000.0,27229.5,675000.0,House / apartment
100753,Cash loans,156384.0,18688.5,135000.0,With parents
100754,Cash loans,364500.0,13221.0,364500.0,House / apartment
100760,Cash loans,224149.5,22297.5,193500.0,House / apartment
100762,Cash loans,225000.0,20637.0,225000.0,House / apartment
100763,Cash loans,571486.5,24340.5,454500.0,House / apartment
100765,Cash loans,136287.0,8847.0,103500.0,House / apartment
100770,Cash loans,697500.0,33687.0,697500.0,With parents
100772,Cash loans,1096020.0,56092.5,900000.0,House / apartment
100777,Cash loans,1024740.0,52452.0,900000.0,House / apartment
100791,Cash loans,276277.5,17784.0,238500.0,House / apartment
100792,Cash loans,276277.5,17784.0,238500.0,House / apartment
100797,Cash loans,1055655.0,38047.5,891000.0,House / apartment
100823,Cash loans,585000.0,29997.0,585000.0,House / apartment
100826,Cash loans,450000.0,14517.0,450000.0,House / apartment
100830,Cash loans,625536.0,31936.5,540000.0,House / apartment
100836,Cash loans,234576.0,20263.5,202500.0,House / apartment
100872,Cash loans,1024740.0,49428.0,900000.0,House / apartment
100910,Cash loans,67500.0,7218.0,67500.0,House / apartment
100913,Cash loans,720000.0,30505.5,720000.0,House / apartment
100918,Cash loans,118512.0,7573.5,90000.0,House / apartment
100931,Cash loans,260640.0,25906.5,225000.0,House / apartment
100952,Cash loans,675000.0,34596.0,675000.0,With parents
100953,Cash loans,573408.0,29407.5,495000.0,Municipal apartment
100965,Cash loans,202500.0,13068.0,202500.0,House / apartment
100970,Cash loans,599778.0,27792.0,477000.0,House / apartment
100982,Cash loans,481176.0,23148.0,360000.0,House / apartment
100983,Cash loans,625536.0,32067.0,540000.0,House / apartment
100984,Cash loans,675000.0,21775.5,675000.0,Municipal apartment
100987,Cash loans,500490.0,59526.0,450000.0,House / apartment
100997,Cash loans,199152.0,10296.0,135000.0,House / apartment
100998,Cash loans,601470.0,30838.5,450000.0,House / apartment
101002,Cash loans,257391.0,27157.5,238500.0,House / apartment
101005,Cash loans,900000.0,55062.0,900000.0,House / apartment
101008,Cash loans,497520.0,39307.5,450000.0,House / apartment
101020,Cash loans,332946.0,16146.0,238500.0,House / apartment
101021,Cash loans,225000.0,23755.5,225000.0,House / apartment
101024,Cash loans,582804.0,29884.5,463500.0,House / apartment
101025,Cash loans,375408.0,29790.0,297000.0,With parents
101026,Cash loans,450000.0,22977.0,450000.0,House / apartment
101031,Cash loans,174132.0,18414.0,157500.0,Municipal apartment
101041,Cash loans,454500.0,17262.0,454500.0,House / apartment
101051,Cash loans,400392.0,41157.0,360000.0,House / apartment
101055,Cash loans,157500.0,11457.0,157500.0,House / apartment
101056,Cash loans,358344.0,28440.0,283500.0,With parents
101057,Cash loans,202500.0,16128.0,202500.0,House / apartment
101064,Cash loans,112500.0,12244.5,112500.0,House / apartment
101079,Cash loans,547344.0,26460.0,472500.0,House / apartment
101087,Cash loans,135000.0,14305.5,135000.0,House / apartment
101090,Cash loans,460692.0,19363.5,301500.0,House / apartment
101092,Cash loans,1024740.0,49428.0,900000.0,House / apartment
101097,Cash loans,755550.0,30465.0,562500.0,House / apartment
101099,Cash loans,186700.5,8982.0,186700.5,House / apartment
101107,Cash loans,525735.0,48348.0,450000.0,House / apartment
101118,Cash loans,651960.0,27535.5,450000.0,House / apartment
101125,Cash loans,1024740.0,52452.0,900000.0,House / apartment
101126,Cash loans,431280.0,22149.0,360000.0,House / apartment
101128,Cash loans,675000.0,69165.0,675000.0,House / apartment
101136,Cash loans,104256.0,11358.0,90000.0,With parents
101140,Cash loans,450000.0,35554.5,450000.0,House / apartment
101149,Cash loans,407520.0,24930.0,360000.0,House / apartment
101160,Cash loans,573408.0,31234.5,495000.0,Municipal apartment
101169,Cash loans,717021.0,52308.0,612000.0,House / apartment
101181,Cash loans,1085058.0,52330.5,891000.0,House / apartment
101186,Cash loans,305640.0,33043.5,270000.0,House / apartment
101190,Cash loans,252000.0,11227.5,252000.0,House / apartment
101193,Cash loans,364896.0,22450.5,315000.0,House / apartment
101194,Cash loans,343800.0,11871.0,225000.0,House / apartment
101198,Cash loans,405000.0,37273.5,405000.0,House / apartment
101200,Cash loans,270000.0,17253.0,270000.0,House / apartment
101204,Cash loans,622413.0,30073.5,495000.0,House / apartment
101211,Cash loans,378706.5,19336.5,306000.0,House / apartment
101213,Cash loans,272520.0,16803.0,225000.0,House / apartment
101223,Cash loans,180000.0,14350.5,180000.0,House / apartment
101225,Cash loans,502497.0,36693.0,454500.0,House / apartment
101237,Cash loans,311877.0,15003.0,252000.0,House / apartment
101243,Cash loans,314055.0,13329.0,238500.0,House / apartment
101244,Cash loans,225000.0,27994.5,225000.0,House / apartment
101258,Cash loans,500490.0,52686.0,450000.0,House / apartment
101259,Cash loans,318069.0,25632.0,265500.0,With parents
101268,Cash loans,292500.0,34843.5,292500.0,House / apartment
101269,Cash loans,171000.0,13360.5,171000.0,House / apartment
101271,Cash loans,509400.0,28444.5,450000.0,House / apartment
101279,Cash loans,334152.0,14287.5,270000.0,House / apartment
101281,Cash loans,248760.0,25618.5,225000.0,House / apartment
101287,Cash loans,500490.0,52686.0,450000.0,With parents
101292,Cash loans,521568.0,22054.5,360000.0,House / apartment
101294,Cash loans,395766.0,20335.5,283500.0,House / apartment
101296,Cash loans,817560.0,30951.0,675000.0,House / apartment
101297,Cash loans,225000.0,22383.0,225000.0,House / apartment
101299,Cash loans,1350000.0,41904.0,1350000.0,House / apartment
101301,Cash loans,407520.0,26041.5,360000.0,House / apartment
101305,Cash loans,378706.5,16173.0,306000.0,House / apartment
101308,Cash loans,500490.0,59526.0,450000.0,House / apartment
101318,Cash loans,225000.0,13896.0,225000.0,House / apartment
101327,Cash loans,848745.0,43465.5,675000.0,House / apartment
101329,Cash loans,93829.5,9981.0,81000.0,House / apartment
101332,Cash loans,248760.0,26919.0,225000.0,House / apartment
101337,Cash loans,1024740.0,55719.0,900000.0,Rented apartment
101343,Cash loans,505233.0,21537.0,378000.0,House / apartment
101345,Cash loans,83538.0,6592.5,67500.0,House / apartment
101346,Cash loans,675000.0,21906.0,675000.0,House / apartment
101353,Cash loans,900000.0,45954.0,900000.0,House / apartment
101354,Cash loans,256185.0,23625.0,207000.0,House / apartment
101355,Cash loans,1157958.0,49189.5,1035000.0,House / apartment
101356,Cash loans,552555.0,24466.5,477000.0,House / apartment
101362,Cash loans,450000.0,14517.0,450000.0,With parents
101363,Cash loans,781920.0,42547.5,675000.0,House / apartment
101365,Cash loans,525735.0,36720.0,450000.0,House / apartment
101366,Cash loans,598500.0,19435.5,450000.0,House / apartment
101367,Cash loans,296280.0,23539.5,225000.0,House / apartment
101368,Cash loans,675000.0,53460.0,675000.0,House / apartment
101374,Cash loans,790830.0,52978.5,675000.0,House / apartment
101380,Cash loans,495000.0,27769.5,495000.0,House / apartment
101383,Cash loans,272520.0,16803.0,225000.0,Municipal apartment
101398,Cash loans,675000.0,38880.0,675000.0,House / apartment
101399,Cash loans,360000.0,25731.0,360000.0,House / apartment
101401,Cash loans,1024740.0,55719.0,900000.0,House / apartment
101412,Cash loans,199008.0,19683.0,180000.0,House / apartment
101426,Cash loans,360000.0,28440.0,360000.0,House / apartment
101427,Cash loans,472500.0,37462.5,472500.0,House / apartment
101428,Cash loans,254700.0,20119.5,225000.0,House / apartment
101429,Cash loans,225000.0,17905.5,225000.0,House / apartment
101434,Cash loans,550980.0,30897.0,450000.0,House / apartment
101440,Cash loans,550980.0,43659.0,450000.0,House / apartment
101448,Cash loans,206059.5,17815.5,166500.0,House / apartment
101449,Cash loans,225000.0,17775.0,225000.0,House / apartment
101465,Cash loans,135000.0,14175.0,135000.0,House / apartment
101467,Cash loans,218938.5,22563.0,189000.0,House / apartment
101472,Cash loans,119893.5,13041.0,103500.0,House / apartment
101478,Cash loans,237024.0,12231.0,180000.0,House / apartment
101497,Cash loans,929088.0,37431.0,720000.0,House / apartment
101504,Cash loans,2013840.0,62640.0,1800000.0,House / apartment
101547,Cash loans,537471.0,58014.0,495000.0,House / apartment
101548,Cash loans,407520.0,29655.0,360000.0,With parents
101555,Cash loans,103500.0,10998.0,103500.0,House / apartment
101570,Cash loans,900000.0,29034.0,900000.0,House / apartment
101572,Cash loans,276277.5,16902.0,238500.0,Office apartment
101578,Revolving loans,135000.0,6750.0,135000.0,House / apartment
101580,Cash loans,330804.0,14035.5,202500.0,House / apartment
101588,Cash loans,769527.0,32733.0,612000.0,House / apartment
101602,Cash loans,453366.0,29101.5,400500.0,House / apartment
101610,Cash loans,315000.0,33205.5,315000.0,House / apartment
101614,Cash loans,1208304.0,54031.5,1080000.0,House / apartment
101616,Cash loans,58500.0,6939.0,58500.0,House / apartment
101643,Cash loans,272520.0,21658.5,225000.0,House / apartment
101644,Cash loans,547344.0,28075.5,472500.0,House / apartment
101649,Cash loans,267102.0,27499.5,247500.0,House / apartment
101650,Cash loans,245268.0,19507.5,202500.0,House / apartment
101665,Cash loans,360000.0,15264.0,360000.0,House / apartment
101667,Cash loans,440784.0,27094.5,360000.0,With parents
101669,Cash loans,98109.0,7267.5,81000.0,House / apartment
101674,Cash loans,552555.0,30105.0,477000.0,With parents
101675,Cash loans,225000.0,22252.5,225000.0,House / apartment
101678,Cash loans,675000.0,25578.0,675000.0,Municipal apartment
101682,Cash loans,135000.0,16020.0,135000.0,House / apartment
101686,Cash loans,177768.0,7960.5,135000.0,House / apartment
101697,Cash loans,389844.0,18751.5,315000.0,House / apartment
101700,Cash loans,675000.0,36747.0,675000.0,House / apartment
101711,Cash loans,248760.0,25618.5,225000.0,House / apartment
101714,Cash loans,906660.0,34308.0,675000.0,House / apartment
101715,Cash loans,424255.5,33646.5,346500.0,House / apartment
101728,Cash loans,543037.5,30451.5,463500.0,Office apartment
101732,Cash loans,218016.0,17352.0,180000.0,House / apartment
101757,Cash loans,174132.0,20664.0,157500.0,House / apartment
101758,Cash loans,163512.0,10449.0,135000.0,House / apartment
101759,Cash loans,468333.0,30060.0,382500.0,House / apartment
101762,Cash loans,941580.0,98874.0,900000.0,House / apartment
101764,Cash loans,272520.0,21528.0,225000.0,House / apartment
101780,Cash loans,432990.0,34339.5,382500.0,House / apartment
101784,Cash loans,1030680.0,63184.5,900000.0,House / apartment
101789,Cash loans,1350000.0,43681.5,1350000.0,House / apartment
101816,Cash loans,420498.0,20358.0,351000.0,House / apartment
101819,Cash loans,135000.0,11583.0,135000.0,House / apartment
101827,Cash loans,460692.0,17496.0,301500.0,House / apartment
101863,Cash loans,225000.0,10822.5,225000.0,House / apartment
101867,Cash loans,769896.0,61857.0,720000.0,House / apartment
101870,Cash loans,670500.0,38623.5,670500.0,Municipal apartment
101873,Cash loans,407520.0,32328.0,360000.0,House / apartment
101878,Cash loans,393543.0,20223.0,328500.0,House / apartment
101879,Cash loans,986418.0,45837.0,810000.0,House / apartment
101880,Cash loans,819000.0,39532.5,819000.0,House / apartment
101887,Cash loans,1094688.0,39451.5,945000.0,House / apartment
101897,Cash loans,539100.0,26064.0,450000.0,House / apartment
101901,Cash loans,509400.0,32683.5,450000.0,House / apartment
101903,Cash loans,265500.0,17869.5,265500.0,With parents
101920,Cash loans,958225.5,92529.0,904500.0,House / apartment
101921,Cash loans,1575000.0,65128.5,1575000.0,House / apartment
101922,Cash loans,172597.5,8433.0,117000.0,House / apartment
101961,Cash loans,265500.0,16965.0,265500.0,With parents
101962,Cash loans,112500.0,11812.5,112500.0,House / apartment
101971,Cash loans,454500.0,19386.0,454500.0,House / apartment
101976,Cash loans,407520.0,32328.0,360000.0,House / apartment
102002,Cash loans,729792.0,39721.5,630000.0,House / apartment
102005,Cash loans,1354500.0,47209.5,1354500.0,House / apartment
102007,Cash loans,332946.0,17127.0,238500.0,House / apartment
102017,Cash loans,539100.0,22968.0,450000.0,House / apartment
102019,Cash loans,481176.0,24696.0,360000.0,House / apartment
102029,Cash loans,296280.0,23539.5,225000.0,Municipal apartment
102051,Cash loans,450000.0,23107.5,450000.0,House / apartment
102052,Cash loans,289597.5,14062.5,234000.0,House / apartment
102054,Cash loans,738108.0,45283.5,630000.0,House / apartment
102062,Cash loans,225000.0,14508.0,225000.0,House / apartment
102067,Cash loans,431280.0,22149.0,360000.0,House / apartment
102068,Cash loans,195543.0,13198.5,148500.0,House / apartment
102070,Cash loans,1107612.0,47677.5,990000.0,House / apartment
102090,Cash loans,360000.0,18378.0,360000.0,House / apartment
102092,Cash loans,88618.5,10021.5,76500.0,House / apartment
102099,Cash loans,247500.0,19683.0,247500.0,House / apartment
102100,Cash loans,2156400.0,67063.5,1800000.0,House / apartment
102112,Cash loans,632664.0,46165.5,540000.0,House / apartment
102113,Cash loans,202500.0,10467.0,202500.0,House / apartment
102122,Cash loans,454500.0,36040.5,454500.0,House / apartment
102123,Cash loans,1350000.0,41904.0,1350000.0,House / apartment
102125,Cash loans,817560.0,30951.0,675000.0,House / apartment
102126,Cash loans,479799.0,24628.5,400500.0,House / apartment
102146,Cash loans,112500.0,11943.0,112500.0,House / apartment
102147,Cash loans,404325.0,20772.0,337500.0,House / apartment
102151,Cash loans,360000.0,18508.5,360000.0,House / apartment
102158,Cash loans,630000.0,32296.5,630000.0,House / apartment
102159,Cash loans,300046.5,10246.5,196366.5,House / apartment
102162,Cash loans,269982.0,28480.5,238500.0,House / apartment
102165,Cash loans,1800000.0,56002.5,1800000.0,House / apartment
102166,Cash loans,172021.5,18193.5,148500.0,House / apartment
102174,Cash loans,225000.0,23184.0,225000.0,House / apartment
102193,Cash loans,382050.0,27801.0,337500.0,House / apartment
102198,Cash loans,1226700.0,39703.5,900000.0,House / apartment
102205,Cash loans,495000.0,25402.5,495000.0,House / apartment
102206,Cash loans,225000.0,16132.5,225000.0,House / apartment
102218,Cash loans,786528.0,43915.5,720000.0,House / apartment
102221,Cash loans,522396.0,29299.5,472500.0,House / apartment
102230,Cash loans,646389.0,31225.5,558000.0,House / apartment
102238,Cash loans,823882.5,86512.5,787500.0,House / apartment
102248,Cash loans,675000.0,29862.0,675000.0,House / apartment
102252,Cash loans,292500.0,23238.0,292500.0,House / apartment
102259,Cash loans,314055.0,13329.0,238500.0,House / apartment
102262,Cash loans,675000.0,21775.5,675000.0,House / apartment
102273,Cash loans,195543.0,14359.5,148500.0,House / apartment
102286,Cash loans,454500.0,17131.5,454500.0,House / apartment
102293,Cash loans,225000.0,22050.0,225000.0,House / apartment
102294,Cash loans,479700.0,51790.5,450000.0,House / apartment
102296,Cash loans,900000.0,57649.5,900000.0,House / apartment
102298,Cash loans,622413.0,33894.0,495000.0,House / apartment
102303,Cash loans,1800000.0,74416.5,1800000.0,House / apartment
102309,Cash loans,420588.0,32679.0,360000.0,House / apartment
102315,Cash loans,234000.0,12825.0,234000.0,House / apartment
102340,Cash loans,345510.0,17770.5,247500.0,House / apartment
102342,Cash loans,572292.0,23107.5,472500.0,House / apartment
102344,Cash loans,225000.0,23184.0,225000.0,House / apartment
102346,Cash loans,712944.0,36531.0,567000.0,House / apartment
102347,Cash loans,67500.0,7087.5,67500.0,House / apartment
102374,Cash loans,573408.0,24421.5,495000.0,House / apartment
102380,Cash loans,257391.0,25204.5,238500.0,House / apartment
102387,Cash loans,630000.0,32296.5,630000.0,House / apartment
102393,Cash loans,260640.0,26838.0,225000.0,House / apartment
102403,Cash loans,104256.0,11074.5,90000.0,House / apartment
102413,Cash loans,301896.0,23490.0,252000.0,House / apartment
102414,Cash loans,1741972.5,54198.0,1557000.0,House / apartment
102415,Cash loans,247500.0,12037.5,247500.0,House / apartment
102416,Cash loans,490482.0,58338.0,441000.0,House / apartment
102439,Cash loans,539100.0,23877.0,450000.0,House / apartment
102441,Cash loans,162000.0,17577.0,162000.0,House / apartment
102443,Cash loans,225000.0,23625.0,225000.0,House / apartment
102444,Cash loans,90000.0,9693.0,90000.0,House / apartment
102445,Cash loans,161595.0,17095.5,139500.0,With parents
102448,Cash loans,531706.5,23548.5,459000.0,House / apartment
102449,Cash loans,577741.5,21910.5,477000.0,House / apartment
102450,Cash loans,675000.0,53329.5,675000.0,With parents
102456,Cash loans,135000.0,14175.0,135000.0,House / apartment
102458,Cash loans,630000.0,32166.0,630000.0,House / apartment
102459,Cash loans,750816.0,24349.5,594000.0,House / apartment
102465,Cash loans,922365.0,33259.5,778500.0,House / apartment
102470,Cash loans,163512.0,13045.5,135000.0,With parents
102471,Cash loans,675000.0,37822.5,675000.0,House / apartment
102475,Cash loans,248760.0,29650.5,225000.0,House / apartment
102476,Cash loans,848745.0,43465.5,675000.0,House / apartment
102506,Cash loans,225000.0,27994.5,225000.0,House / apartment
102509,Cash loans,2013840.0,62640.0,1800000.0,House / apartment
102519,Cash loans,104256.0,8064.0,90000.0,House / apartment
102522,Cash loans,260640.0,31059.0,225000.0,House / apartment
102545,Cash loans,442062.0,22698.0,369000.0,House / apartment
102549,Cash loans,118512.0,8752.5,90000.0,With parents
102562,Cash loans,539100.0,26064.0,450000.0,House / apartment
102563,Cash loans,495000.0,25272.0,495000.0,Municipal apartment
102568,Cash loans,334152.0,17190.0,270000.0,House / apartment
102582,Cash loans,225000.0,14377.5,225000.0,House / apartment
102592,Cash loans,260640.0,27369.0,225000.0,House / apartment
102597,Cash loans,149256.0,17842.5,135000.0,House / apartment
102605,Cash loans,238500.0,12177.0,238500.0,House / apartment
102614,Cash loans,225000.0,14508.0,225000.0,House / apartment
102617,Cash loans,90000.0,7110.0,90000.0,House / apartment
102634,Cash loans,341280.0,21937.5,270000.0,House / apartment
102652,Cash loans,360000.0,28570.5,360000.0,House / apartment
102655,Cash loans,1451047.5,59881.5,1354500.0,House / apartment
102671,Cash loans,454500.0,19386.0,454500.0,House / apartment
102694,Cash loans,539100.0,27652.5,450000.0,House / apartment
102701,Cash loans,239476.5,22095.0,193500.0,House / apartment
102703,Cash loans,553581.0,31041.0,472500.0,House / apartment
102704,Cash loans,292500.0,15997.5,292500.0,House / apartment
102713,Cash loans,99504.0,10575.0,90000.0,House / apartment
102720,Cash loans,254799.0,16411.5,193500.0,House / apartment
102731,Cash loans,509400.0,40374.0,450000.0,House / apartment
102733,Cash loans,162000.0,14854.5,162000.0,House / apartment
102749,Cash loans,537471.0,56569.5,495000.0,House / apartment
102755,Cash loans,165915.0,13239.0,126000.0,House / apartment
102763,Cash loans,218938.5,26113.5,189000.0,With parents
102770,Cash loans,225000.0,11619.0,225000.0,House / apartment
102772,Cash loans,502497.0,39829.5,454500.0,House / apartment
102799,Cash loans,418743.0,25749.0,342000.0,House / apartment
102838,Cash loans,111384.0,8748.0,90000.0,House / apartment
102854,Cash loans,136260.0,8334.0,112500.0,House / apartment
102862,Cash loans,323194.5,25663.5,279000.0,House / apartment
102863,Cash loans,622575.0,23598.0,463500.0,House / apartment
102867,Cash loans,450000.0,16164.0,450000.0,House / apartment
102868,Cash loans,99000.0,10273.5,99000.0,House / apartment
102878,Cash loans,517536.0,21487.5,432000.0,House / apartment
102887,Cash loans,259794.0,27409.5,229500.0,House / apartment
102898,Cash loans,440784.0,34956.0,360000.0,House / apartment
102904,Cash loans,523431.0,35109.0,427500.0,House / apartment
102912,Cash loans,301464.0,19395.0,238500.0,With parents
102919,Cash loans,535306.5,25884.0,400500.0,House / apartment
102927,Cash loans,118512.0,9490.5,90000.0,House / apartment
102932,Cash loans,207396.0,16515.0,157500.0,House / apartment
102933,Cash loans,254700.0,18531.0,225000.0,House / apartment
102935,Cash loans,732915.0,79065.0,675000.0,House / apartment
102958,Cash loans,248877.0,12834.0,189000.0,House / apartment
102969,Cash loans,509400.0,37197.0,450000.0,House / apartment
102971,Cash loans,964575.0,31243.5,675000.0,Rented apartment
102975,Cash loans,431730.0,46494.0,405000.0,House / apartment
